,TRADEDATE,CLOSE
1341,2018-07-24,215.45
1342,2018-07-25,213.7
1343,2018-07-26,210.0
1344,2018-07-27,208.9
1345,2018-07-30,211.33
1346,2018-07-31,214.86
1347,2018-08-01,210.6
1348,2018-08-02,206.6
1349,2018-08-03,202.21
1350,2018-08-06,203.9
1351,2018-08-07,201.79
1352,2018-08-08,193.2
1353,2018-08-09,195.9
1354,2018-08-10,186.15
1355,2018-08-13,190.0
1356,2018-08-14,192.76
1357,2018-08-15,187.98
1358,2018-08-16,191.6
1359,2018-08-17,189.55
1360,2018-08-20,191.2
1361,2018-08-21,191.8
1362,2018-08-22,187.8
1363,2018-08-23,178.71
1364,2018-08-24,180.39
1365,2018-08-27,183.27
1366,2018-08-28,182.0
1367,2018-08-29,183.5
1368,2018-08-30,178.0
1369,2018-08-31,182.0
1370,2018-09-03,181.21
1371,2018-09-04,179.5
1372,2018-09-05,178.46
1373,2018-09-06,175.0
1374,2018-09-07,174.9
1375,2018-09-10,171.21
1376,2018-09-11,169.36
1377,2018-09-12,173.9
1378,2018-09-13,183.5
1379,2018-09-14,188.71
1380,2018-09-17,188.11
1381,2018-09-18,191.65
1382,2018-09-19,193.9
1383,2018-09-20,191.16
1384,2018-09-21,193.44
1385,2018-09-24,198.75
1386,2018-09-25,195.55
1387,2018-09-26,195.79
1388,2018-09-27,204.1
1389,2018-09-28,203.32
1390,2018-10-01,204.2
1391,2018-10-02,199.5
1392,2018-10-03,198.3
1393,2018-10-04,189.35
1394,2018-10-05,187.2
1395,2018-10-08,191.85
1396,2018-10-09,191.25
1397,2018-10-10,189.89
1398,2018-10-11,185.27
1399,2018-10-12,191.85
1400,2018-10-15,190.92
1401,2018-10-16,196.05
1402,2018-10-17,194.05
1403,2018-10-18,191.0
1404,2018-10-19,183.8
1405,2018-10-22,180.7
1406,2018-10-23,181.0
1407,2018-10-24,188.01
1408,2018-10-25,186.71
1409,2018-10-26,181.0
1410,2018-10-29,185.59
1411,2018-10-30,184.78
1412,2018-10-31,189.8
1413,2018-11-01,188.67
1414,2018-11-02,192.6
1415,2018-11-06,197.8
1416,2018-11-07,201.9
1417,2018-11-08,202.89
1418,2018-11-09,195.75
1419,2018-11-12,196.82
1420,2018-11-13,196.56
1421,2018-11-14,199.2
1422,2018-11-15,200.15
1423,2018-11-16,199.26
1424,2018-11-19,197.99
1425,2018-11-20,194.21
1426,2018-11-21,197.5
1427,2018-11-22,199.4
1428,2018-11-23,197.3
1429,2018-11-26,188.5
1430,2018-11-27,191.03
1431,2018-11-28,190.2
1432,2018-11-29,195.76
1433,2018-11-30,194.0
1434,2018-12-03,200.3
1435,2018-12-04,199.0
1436,2018-12-05,196.0
1437,2018-12-06,192.19
1438,2018-12-07,195.01
1439,2018-12-10,191.8
1440,2018-12-11,192.57
1441,2018-12-12,190.45
1442,2018-12-13,189.17
1443,2018-12-14,184.93
1444,2018-12-17,182.3
1445,2018-12-18,186.6
1446,2018-12-19,188.85
1447,2018-12-20,189.3
1448,2018-12-21,186.79
1449,2018-12-24,184.3
1450,2018-12-25,183.3
1451,2018-12-26,183.4
1452,2018-12-27,185.0
1453,2018-12-28,186.5
1454,2018-12-29,186.3
1455,2019-01-03,186.99
1456,2019-01-04,190.99
1457,2019-01-08,191.24
1458,2019-01-09,197.0
1459,2019-01-10,196.75
1460,2019-01-11,196.8
1461,2019-01-14,196.8
1462,2019-01-15,198.0
1463,2019-01-16,201.26
1464,2019-01-17,203.32
1465,2019-01-18,208.44
1466,2019-01-21,207.17
1467,2019-01-22,207.95
1468,2019-01-23,210.4
1469,2019-01-24,212.2
1470,2019-01-25,212.0
1471,2019-01-28,209.7
1472,2019-01-29,213.61
1473,2019-01-30,213.14
1474,2019-01-31,217.9
1475,2019-02-01,216.29
1476,2019-02-04,215.5
1477,2019-02-05,217.85
1478,2019-02-06,216.59
1479,2019-02-07,211.01
1480,2019-02-08,210.43
1481,2019-02-11,214.0
1482,2019-02-12,219.1
1483,2019-02-13,213.9
1484,2019-02-14,204.43
1485,2019-02-15,208.0
1486,2019-02-18,204.19
1487,2019-02-19,202.08
1488,2019-02-20,206.89
1489,2019-02-21,203.41
1490,2019-02-22,205.25
1491,2019-02-25,205.86
1492,2019-02-26,205.8
1493,2019-02-27,205.4
1494,2019-02-28,207.8
1495,2019-03-01,206.54
1496,2019-03-04,205.5
1497,2019-03-05,202.92
1498,2019-03-06,205.0
1499,2019-03-07,203.95
1500,2019-03-11,205.25
1501,2019-03-12,205.1
1502,2019-03-13,206.0
1503,2019-03-14,203.66
1504,2019-03-15,203.55
1505,2019-03-18,205.9
1506,2019-03-19,207.7
1507,2019-03-20,209.8
1508,2019-03-21,210.61
1509,2019-03-22,207.7
1510,2019-03-25,214.0
1511,2019-03-26,218.0
1512,2019-03-27,214.1
1513,2019-03-28,215.07
1514,2019-03-29,214.42
1515,2019-04-01,217.7
1516,2019-04-02,218.23
1517,2019-04-03,219.05
1518,2019-04-04,221.8
1519,2019-04-05,227.5
1520,2019-04-08,232.3
1521,2019-04-09,238.0
1522,2019-04-10,243.68
1523,2019-04-11,238.86
1524,2019-04-12,239.5
1525,2019-04-15,237.8
1526,2019-04-16,233.24
1527,2019-04-17,234.3
1528,2019-04-18,232.79
1529,2019-04-19,232.6
1530,2019-04-22,235.41
1531,2019-04-23,235.67
1532,2019-04-24,236.0
1533,2019-04-25,227.8
1534,2019-04-26,223.18
1535,2019-04-29,228.8
1536,2019-04-30,225.17
1537,2019-05-02,229.1
1538,2019-05-03,232.52
1539,2019-05-06,232.8
1540,2019-05-07,231.49
1541,2019-05-08,230.0
1542,2019-05-10,227.0
1543,2019-05-13,224.22
1544,2019-05-14,227.88
1545,2019-05-15,228.69
1546,2019-05-16,228.19
1547,2019-05-17,226.94
1548,2019-05-20,226.0
1549,2019-05-21,232.71
1550,2019-05-22,235.86
1551,2019-05-23,229.3
1552,2019-05-24,234.45
1553,2019-05-27,236.0
